Date,Price,Open,High,Low,Vol.,Change %
8/11/2020,54.16,58.27,58.65,53.55,887.51K,-7.05%
8/10/2020,58.27,56.98,58.45,56.98,651.67K,2.32%
8/9/2020,56.95,58.53,58.53,56.49,369.31K,-2.58%
8/8/2020,58.46,57.09,58.46,56.91,428.02K,2.26%
8/7/2020,57.17,59.02,60.22,57.03,898.05K,-3.18%
8/6/2020,59.05,58.88,60.24,58.15,822.49K,0.32%
8/5/2020,58.86,57.70,59.35,57.35,716.10K,2.17%
8/4/2020,57.61,58.48,59.23,57.18,625.61K,-1.49%
8/3/2020,58.48,56.78,59.63,56.78,824.89K,3.05%
8/2/2020,56.75,61.62,63.91,56.52,1.81M,-7.95%
8/1/2020,61.65,58.26,61.65,58.26,1.21M,6.04%
7/31/2020,58.14,56.86,58.48,56.09,656.37K,2.56%
7/30/2020,56.69,54.40,57.34,54.40,1.02M,2.70%
7/29/2020,55.20,55.81,56.10,55.20,820.95K,-1.04%
7/28/2020,55.78,53.31,56.95,53.12,1.52M,4.61%
7/27/2020,53.32,48.09,54.20,47.79,1.50M,10.85%
7/26/2020,48.10,49.07,50.71,48.10,895.76K,-2.16%
7/25/2020,49.16,44.15,49.16,44.15,908.34K,11.45%
7/24/2020,44.11,44.90,44.90,44.11,246.80K,-1.83%
7/23/2020,44.93,44.99,45.34,44.67,432.53K,-0.13%
7/22/2020,44.99,43.74,44.99,43.46,335.63K,2.74%
7/21/2020,43.79,41.92,43.89,41.92,314.42K,4.41%
7/20/2020,41.94,42.68,42.68,41.92,180.28K,-1.66%
7/19/2020,42.65,42.46,42.65,42.12,195.43K,0.47%
7/18/2020,42.45,41.86,42.73,41.81,171.48K,1.34%
7/17/2020,41.89,42.09,42.13,41.89,201.90K,-0.48%
7/16/2020,42.09,43.35,43.37,41.70,389.79K,-2.84%
7/15/2020,43.32,43.87,43.87,43.20,216.88K,-1.23%
7/14/2020,43.86,43.88,43.99,43.32,246.96K,-0.14%
7/13/2020,43.92,44.78,45.40,43.89,445.13K,-1.83%
7/12/2020,44.74,44.71,44.99,44.17,245.53K,0.11%
7/11/2020,44.69,44.32,44.69,44.06,186.31K,0.93%
7/10/2020,44.28,44.33,44.53,43.82,256.74K,-0.11%
7/9/2020,44.33,45.39,45.70,43.88,413.27K,-2.16%
7/8/2020,45.31,43.42,45.34,43.28,537.29K,4.42%
7/7/2020,43.39,44.02,44.02,43.16,307.77K,-1.48%
7/6/2020,44.04,41.65,44.04,41.65,369.49K,5.74%
7/5/2020,41.65,42.10,42.19,41.09,234.02K,-1.09%
7/4/2020,42.11,41.12,42.18,41.08,239.31K,2.31%
7/3/2020,41.16,41.03,41.70,40.91,190.26K,0.34%
7/2/2020,41.02,41.78,41.88,40.35,274.51K,-1.82%
7/1/2020,41.78,41.13,42.00,40.99,189.82K,1.51%
6/30/2020,41.16,41.92,42.04,40.80,170.76K,-1.70%
6/29/2020,41.87,41.37,42.26,40.61,323.51K,1.16%
6/28/2020,41.39,41.05,42.03,40.50,169.07K,0.80%
6/27/2020,41.06,43.09,43.10,39.40,301.37K,-4.71%
6/26/2020,43.09,42.33,43.52,41.38,348.40K,1.72%
6/25/2020,42.36,42.65,42.98,41.72,246.29K,-0.70%
6/24/2020,42.66,44.17,44.64,42.25,356.81K,-3.44%
6/23/2020,44.18,44.33,44.48,43.91,219.44K,-0.29%
6/22/2020,44.31,43.00,44.65,42.95,281.74K,3.05%
6/21/2020,43.00,43.64,43.82,42.93,159.66K,-1.31%
6/20/2020,43.57,42.82,43.84,42.42,202.43K,1.59%
6/19/2020,42.89,43.38,43.65,42.74,304.86K,-1.29%
6/18/2020,43.45,44.08,44.21,42.90,193.51K,-1.41%
6/17/2020,44.07,43.92,44.95,43.03,324.89K,0.41%
6/16/2020,43.89,43.74,44.17,43.39,215.56K,0.37%
6/15/2020,43.73,44.02,44.08,41.87,355.28K,-0.73%
6/14/2020,44.05,45.10,45.10,43.62,170.08K,-2.31%
6/13/2020,45.09,44.71,45.19,44.31,151.58K,0.85%
6/12/2020,44.71,43.22,45.31,42.84,237.91K,3.26%
6/11/2020,43.30,46.67,46.86,42.16,537.68K,-7.14%
6/10/2020,46.63,45.89,47.07,45.68,319.61K,1.63%
6/9/2020,45.88,46.48,46.76,45.42,219.75K,-1.10%
6/8/2020,46.39,46.64,46.77,45.96,220.40K,-0.49%
6/7/2020,46.62,46.79,46.96,45.24,306.22K,-0.36%
6/6/2020,46.79,46.60,47.17,46.23,226.47K,-0.04%
6/5/2020,46.81,47.46,47.94,46.64,400.97K,-1.39%
6/4/2020,47.47,47.17,48.09,46.37,471.87K,0.68%
6/3/2020,47.15,45.99,47.46,45.44,427.97K,2.37%
6/2/2020,46.06,48.25,49.95,44.67,921.07K,-4.54%
6/1/2020,48.25,45.59,48.79,45.37,598.79K,5.81%
5/31/2020,45.60,47.80,47.80,45.22,494.16K,-4.40%
5/30/2020,47.70,44.48,47.87,44.19,589.98K,7.22%
5/29/2020,44.49,44.76,45.25,44.19,298.90K,-0.56%
5/28/2020,44.74,43.84,44.87,43.20,291.23K,2.08%
5/27/2020,43.83,42.27,44.00,42.24,282.79K,3.69%
5/26/2020,42.27,42.94,43.06,41.81,218.68K,-1.65%
5/25/2020,42.98,42.06,43.31,41.83,251.77K,1.87%
5/24/2020,42.19,43.79,44.54,42.19,359.47K,-3.83%
5/23/2020,43.87,44.25,44.73,43.68,237.49K,-0.81%
5/22/2020,44.23,42.71,44.65,42.40,398.44K,3.58%
5/21/2020,42.70,44.23,44.60,41.78,504.67K,-3.46%
5/20/2020,44.23,45.71,46.12,43.38,546.35K,-3.22%
5/19/2020,45.70,45.34,45.79,44.13,375.87K,0.84%
5/18/2020,45.32,43.71,46.51,43.66,694.37K,3.75%
5/17/2020,43.68,43.24,44.45,43.10,344.60K,0.92%
5/16/2020,43.28,42.77,43.84,42.52,435.94K,1.29%
5/15/2020,42.73,43.96,44.13,42.09,469.17K,-2.82%
