Date,Price,Open,High,Low,Vol.,Change %
10/23/2020,0.00,0.00,0.00,0.00,242.49M,-0.23%
10/22/2020,0.00,0.00,0.00,0.00,323.52M,0.92%
10/21/2020,0.00,0.00,0.00,0.00,436.14M,1.12%
10/20/2020,0.00,0.00,0.00,0.00,417.19M,0.09%
10/19/2020,0.00,0.00,0.00,0.00,483.62M,0.07%
10/18/2020,0.00,0.00,0.00,0.00,157.77M,0.27%
10/17/2020,0.00,0.00,0.00,0.00,143.99M,-0.78%
10/16/2020,0.00,0.00,0.00,0.00,443.62M,0.32%
10/15/2020,0.00,0.00,0.00,0.00,315.01M,-1.66%
10/14/2020,0.00,0.00,0.00,0.00,216.78M,0.02%
10/13/2020,0.00,0.00,0.00,0.00,283.63M,-1.11%
10/12/2020,0.00,0.00,0.00,0.00,421.86M,-0.15%
10/11/2020,0.00,0.00,0.00,0.00,250.99M,0.36%
10/10/2020,0.00,0.00,0.00,0.00,445.72M,0.25%
10/9/2020,0.00,0.00,0.00,0.00,498.97M,1.75%
10/8/2020,0.00,0.00,0.00,0.00,613.22M,0.61%
10/7/2020,0.00,0.00,0.00,0.00,748.39M,-0.19%
10/6/2020,0.00,0.00,0.00,0.00,535.58M,-0.57%
10/5/2020,0.00,0.00,0.00,0.00,293.69M,-0.72%
10/4/2020,0.00,0.00,0.00,0.00,363.72M,1.43%
10/3/2020,0.00,0.00,0.00,0.00,344.65M,0.22%
10/2/2020,0.00,0.00,0.00,0.00,1.05B,-1.31%
10/1/2020,0.00,0.00,0.00,0.00,647.65M,-0.39%
9/30/2020,0.00,0.00,0.00,0.00,347.86M,-1.41%
9/29/2020,0.00,0.00,0.00,0.00,412.72M,0.84%
9/28/2020,0.00,0.00,0.00,0.00,360.13M,-1.67%
9/27/2020,0.00,0.00,0.00,0.00,236.02M,-0.07%
9/26/2020,0.00,0.00,0.00,0.00,312.44M,-0.26%
9/25/2020,0.00,0.00,0.00,0.00,512.68M,2.81%
9/24/2020,0.00,0.00,0.00,0.00,389.88M,3.42%
9/23/2020,0.00,0.00,0.00,0.00,499.13M,-3.78%
9/22/2020,0.00,0.00,0.00,0.00,695.67M,1.49%
9/21/2020,0.00,0.00,0.00,0.00,1.37B,-6.07%
9/20/2020,0.00,0.00,0.00,0.00,899.33M,-0.62%
9/19/2020,0.00,0.00,0.00,0.00,895.70M,0.10%
9/18/2020,0.00,0.00,0.00,0.00,596.84M,-0.72%
9/17/2020,0.00,0.00,0.00,0.00,708.80M,0.00%
9/16/2020,0.00,0.00,0.00,0.00,718.83M,-0.70%
9/15/2020,0.00,0.00,0.00,0.00,839.00M,1.53%
9/14/2020,0.00,0.00,0.00,0.00,622.11M,0.06%
9/13/2020,0.00,0.00,0.00,0.00,736.84M,-1.09%
9/12/2020,0.00,0.00,0.00,0.00,538.07M,0.66%
9/11/2020,0.00,0.00,0.00,0.00,633.51M,-0.35%
9/10/2020,0.00,0.00,0.00,0.00,588.79M,0.95%
9/9/2020,0.00,0.00,0.00,0.00,603.90M,1.16%
9/8/2020,0.00,0.00,0.00,0.00,605.75M,-2.55%
9/7/2020,0.00,0.00,0.00,0.00,930.44M,1.30%
9/6/2020,0.00,0.00,0.00,0.00,1.17B,0.68%
9/5/2020,0.00,0.00,0.00,0.00,1.06B,-4.02%
9/4/2020,0.00,0.00,0.00,0.00,1.13B,3.99%
9/3/2020,0.00,0.00,0.00,0.00,1.20B,-11.08%
9/2/2020,0.00,0.00,0.00,0.00,758.18M,-3.83%
9/1/2020,0.00,0.00,0.00,0.00,728.82M,0.96%
8/31/2020,0.00,0.00,0.00,0.00,792.63M,-2.87%
8/30/2020,0.00,0.00,0.00,0.00,456.38M,0.75%
8/29/2020,0.00,0.00,0.00,0.00,443.07M,0.46%
8/28/2020,0.00,0.00,0.00,0.00,416.52M,1.92%
8/27/2020,0.00,0.00,0.00,0.00,811.72M,-2.82%
8/26/2020,0.00,0.00,0.00,0.00,573.12M,0.10%
8/25/2020,0.00,0.00,0.00,0.00,804.39M,-3.54%
8/24/2020,0.00,0.00,0.00,0.00,697.22M,0.47%
8/23/2020,0.00,0.00,0.00,0.00,449.98M,-1.12%
8/22/2020,0.00,0.00,0.00,0.00,665.35M,1.81%
8/21/2020,0.00,0.00,0.00,0.00,1.08B,-1.94%
8/20/2020,0.00,0.00,0.00,0.00,483.18M,0.59%
8/19/2020,0.00,0.00,0.00,0.00,865.08M,-1.62%
8/18/2020,0.00,0.00,0.00,0.00,1.12B,-3.12%
8/17/2020,0.00,0.00,0.00,0.00,1.60B,1.61%
8/16/2020,0.00,0.00,0.00,0.00,756.30M,-0.05%
8/15/2020,0.00,0.00,0.00,0.00,1.07B,-1.13%
8/14/2020,0.00,0.00,0.00,0.00,852.09M,2.40%
8/13/2020,0.00,0.00,0.00,0.00,1.14B,0.61%
8/12/2020,0.00,0.00,0.00,0.00,828.77M,2.29%
8/11/2020,0.00,0.00,0.00,0.00,1.22B,-2.99%
8/10/2020,0.00,0.00,0.00,0.00,826.54M,0.66%
8/9/2020,0.00,0.00,0.00,0.00,587.81M,-1.17%
8/8/2020,0.00,0.00,0.00,0.00,625.46M,0.33%
8/7/2020,0.00,0.00,0.00,0.00,885.95M,-1.63%
8/6/2020,0.00,0.00,0.00,0.00,909.45M,1.62%
8/5/2020,0.00,0.00,0.00,0.00,1.10B,-1.20%
8/4/2020,0.00,0.00,0.00,0.00,1.25B,4.85%
8/3/2020,0.00,0.00,0.00,0.00,860.26M,1.52%
8/2/2020,0.00,0.00,0.00,0.00,2.34B,-10.17%
8/1/2020,0.00,0.00,0.00,0.00,4.30B,15.03%
7/31/2020,0.00,0.00,0.00,0.00,632.45M,-0.19%
7/30/2020,0.00,0.00,0.00,0.00,523.20M,1.51%
7/29/2020,0.00,0.00,0.00,0.00,677.09M,-0.29%
7/28/2020,0.00,0.00,0.00,0.00,651.10M,0.69%
7/27/2020,0.00,0.00,0.00,0.00,1.34B,-1.95%
7/26/2020,0.00,0.00,0.00,0.00,888.37M,-0.73%
7/25/2020,0.00,0.00,0.00,0.00,866.80M,1.40%
7/24/2020,0.00,0.00,0.00,0.00,824.72M,-2.68%
7/23/2020,0.00,0.00,0.00,0.00,792.92M,0.23%
7/22/2020,0.00,0.00,0.00,0.00,591.70M,-0.25%
7/21/2020,0.00,0.00,0.00,0.00,1.19B,2.29%
7/20/2020,0.00,0.00,0.00,0.00,1.64B,-4.63%
7/19/2020,0.00,0.00,0.00,0.00,3.67B,-2.21%
7/18/2020,0.00,0.00,0.00,0.00,8.33B,13.19%
7/17/2020,0.00,0.00,0.00,0.00,1.88B,2.54%
